transaction_reference,property_full_address,property_state,transaction_type,transaction_start_date,date_of_transaction,closing_date,status,listing_price,final_price,legal_fees,other_expenses,participant_type,participant_email,participant_name,participant_role,commission_amount
T-NY-2018-0105,"322 Kristen Rapids, Long Island City, NY",NY,Rent,2018-02-13,2018-03-22,,pending rental,3692.35,,,,Client,roberto.yates4694@example.com,"Yates, Roberto",Tenant,
T-CT-2018-0013,"760 Chang Lodge, Bridgeport, CT",CT,Sale,2018-02-24,2018-04-14,2018-05-02,sold,769618.37,767574.34,2040.96,756.24,Agent,tina.ramirez1373@dreamhomes.com,"Ramirez, Tina",Buyer Agent,19448.29
T-CT-2018-0013,"760 Chang Lodge, Bridgeport, CT",CT,Sale,2018-02-24,2018-04-14,2018-05-02,sold,769618.37,767574.34,2040.96,756.24,Agent,katherine.miller6806@dreamhomes.com,"Miller, Katherine",Seller Agent,22370.24
T-CT-2018-0013,"760 Chang Lodge, Bridgeport, CT",CT,Sale,2018-02-24,2018-04-14,2018-05-02,sold,769618.37,767574.34,2040.96,756.24,Client,blake.miller5098@example.com,"Miller, Blake",Buyer,
T-CT-2018-0013,"760 Chang Lodge, Bridgeport, CT",CT,Sale,2018-02-24,2018-04-14,2018-05-02,sold,769618.37,767574.34,2040.96,756.24,Client,kristen.cox5628@example.com,"Cox, Kristen",Seller,
T-NJ-2018-0006,"485 Schroeder Ramp, Newark, NJ",NJ,Sale,2018-02-22,2018-04-14,2018-05-09,sold,664055.23,675883.82,972.86,1547.89,Agent,janet.kim9646@dreamhomes.com,"Kim, Janet",Buyer Agent,17467.78
T-NJ-2018-0006,"485 Schroeder Ramp, Newark, NJ",NJ,Sale,2018-02-22,2018-04-14,2018-05-09,sold,664055.23,675883.82,972.86,1547.89,Agent,thomas.leach9910@dreamhomes.com,"Leach, Thomas",Seller Agent,14426.61
T-NJ-2018-0006,"485 Schroeder Ramp, Newark, NJ",NJ,Sale,2018-02-22,2018-04-14,2018-05-09,sold,664055.23,675883.82,972.86,1547.89,Client,mark.snow7495@example.com,"Snow, Mark",Buyer,
T-NJ-2018-0006,"485 Schroeder Ramp, Newark, NJ",NJ,Sale,2018-02-22,2018-04-14,2018-05-09,sold,664055.23,675883.82,972.86,1547.89,Client,erica.lynch3304@example.com,"Lynch, Erica",Buyer,
T-NJ-2018-0006,"485 Schroeder Ramp, Newark, NJ",NJ,Sale,2018-02-22,2018-04-14,2018-05-09,sold,664055.23,675883.82,972.86,1547.89,Client,sarah.armstrong4883@example.com,"Armstrong, Sarah",Seller,
T-NY-2018-0106,"248 Singh Plains, Long Island City, NY",NY,Rent,2018-03-08,2018-04-15,2018-05-01,rented,6035.77,6068.15,1803.23,1394.4,Agent,angela.woods7376@dreamhomes.com,"Woods, Angela",Landlord Agent,277.94
T-NY-2018-0106,"248 Singh Plains, Long Island City, NY",NY,Rent,2018-03-08,2018-04-15,2018-05-01,rented,6035.77,6068.15,1803.23,1394.4,Agent,erica.rogers3495@dreamhomes.com,"Rogers, Erica",Tenant Agent,229.69
T-NY-2018-0106,"248 Singh Plains, Long Island City, NY",NY,Rent,2018-03-08,2018-04-15,2018-05-01,rented,6035.77,6068.15,1803.23,1394.4,Client,jeffery.smith7042@example.com,"Smith, Jeffery",Landlord,
T-NY-2018-0106,"248 Singh Plains, Long Island City, NY",NY,Rent,2018-03-08,2018-04-15,2018-05-01,rented,6035.77,6068.15,1803.23,1394.4,Client,valerie.peterson3420@example.com,"Peterson, Valerie",Tenant,
T-NJ-2018-0012,"473 Carolyn Avenue, Hoboken, NJ",NJ,Sale,2018-02-24,2018-04-20,2018-05-20,sold,843419.83,867986.55,2099.3,1562.78,Agent,damon.gonzalez618@dreamhomes.com,"Gonzalez, Damon",Buyer Agent,24523.71
T-NJ-2018-0012,"473 Carolyn Avenue, Hoboken, NJ",NJ,Sale,2018-02-24,2018-04-20,2018-05-20,sold,843419.83,867986.55,2099.3,1562.78,Agent,bryan.riddle4780@dreamhomes.com,"Riddle, Bryan",Seller Agent,22120.38
T-NJ-2018-0012,"473 Carolyn Avenue, Hoboken, NJ",NJ,Sale,2018-02-24,2018-04-20,2018-05-20,sold,843419.83,867986.55,2099.3,1562.78,Client,roberto.yates4694@example.com,"Yates, Roberto",Buyer,
T-NJ-2018-0012,"473 Carolyn Avenue, Hoboken, NJ",NJ,Sale,2018-02-24,2018-04-20,2018-05-20,sold,843419.83,867986.55,2099.3,1562.78,Client,melissa.ross1428@example.com,"Ross, Melissa",Seller,
T-NY-2018-0014,"212 Jenny Brooks, Long Island City, NY",NY,Sale,2018-02-17,2018-04-24,,pending sale,1581141.85,,,,Agent,erica.rogers3495@dreamhomes.com,"Rogers, Erica",Buyer Agent,
T-NY-2018-0014,"212 Jenny Brooks, Long Island City, NY",NY,Sale,2018-02-17,2018-04-24,,pending sale,1581141.85,,,,Agent,jill.carrillo7109@dreamhomes.com,"Carrillo, Jill",Seller Agent,
T-NY-2018-0014,"212 Jenny Brooks, Long Island City, NY",NY,Sale,2018-02-17,2018-04-24,,pending sale,1581141.85,,,,Client,valerie.peterson3420@example.com,"Peterson, Valerie",Buyer,
T-NY-2018-0014,"212 Jenny Brooks, Long Island City, NY",NY,Sale,2018-02-17,2018-04-24,,pending sale,1581141.85,,,,Client,eric.silva9746@example.com,"Silva, Eric",Seller,
T-NJ-2018-0115,"461 Betty Road, Edgewater, NJ",NJ,Rent,2018-04-29,2018-05-21,2018-05-27,rented,2704.01,2775.09,1076.57,685.42,Agent,bryan.riddle4780@dreamhomes.com,"Riddle, Bryan",Landlord Agent,212.58
T-NJ-2018-0115,"461 Betty Road, Edgewater, NJ",NJ,Rent,2018-04-29,2018-05-21,2018-05-27,rented,2704.01,2775.09,1076.57,685.42,Agent,kristen.woods6052@dreamhomes.com,"Woods, Kristen",Tenant Agent,190.14
T-NJ-2018-0115,"461 Betty Road, Edgewater, NJ",NJ,Rent,2018-04-29,2018-05-21,2018-05-27,rented,2704.01,2775.09,1076.57,685.42,Client,eric.silva9746@example.com,"Silva, Eric",Landlord,
T-NJ-2018-0115,"461 Betty Road, Edgewater, NJ",NJ,Rent,2018-04-29,2018-05-21,2018-05-27,rented,2704.01,2775.09,1076.57,685.42,Client,jesse.kane9072@example.com,"Kane, Jesse",Tenant,
T-NJ-2018-0004,"397 Yolanda Branch, Edgewater, NJ",NJ,Sale,2018-03-24,2018-05-25,2018-07-16,sold,912653.37,909726.59,1167.69,1339.74,Agent,kristen.woods6052@dreamhomes.com,"Woods, Kristen",Buyer Agent,19673.76
T-NJ-2018-0004,"397 Yolanda Branch, Edgewater, NJ",NJ,Sale,2018-03-24,2018-05-25,2018-07-16,sold,912653.37,909726.59,1167.69,1339.74,Agent,damon.gonzalez618@dreamhomes.com,"Gonzalez, Damon",Seller Agent,20586.09
T-NJ-2018-0004,"397 Yolanda Branch, Edgewater, NJ",NJ,Sale,2018-03-24,2018-05-25,2018-07-16,sold,912653.37,909726.59,1167.69,1339.74,Client,kyle.hall3355@example.com,"Hall, Kyle",Buyer,
T-NJ-2018-0004,"397 Yolanda Branch, Edgewater, NJ",NJ,Sale,2018-03-24,2018-05-25,2018-07-16,sold,912653.37,909726.59,1167.69,1339.74,Client,michele.ramirez8429@example.com,"Ramirez, Michele",Buyer,
T-NJ-2018-0004,"397 Yolanda Branch, Edgewater, NJ",NJ,Sale,2018-03-24,2018-05-25,2018-07-16,sold,912653.37,909726.59,1167.69,1339.74,Client,travis.robinson7859@example.com,"Robinson, Travis",Seller,
T-NJ-2018-0010,"433 Hannah Circles, Newark, NJ",NJ,Sale,2018-03-26,2018-06-01,2018-07-03,sold,483719.25,470871.06,2368.19,154.34,Agent,thomas.leach9910@dreamhomes.com,"Leach, Thomas",Buyer Agent,12316.76
T-NJ-2018-0010,"433 Hannah Circles, Newark, NJ",NJ,Sale,2018-03-26,2018-06-01,2018-07-03,sold,483719.25,470871.06,2368.19,154.34,Agent,janet.kim9646@dreamhomes.com,"Kim, Janet",Seller Agent,12995.26
T-NJ-2018-0010,"433 Hannah Circles, Newark, NJ",NJ,Sale,2018-03-26,2018-06-01,2018-07-03,sold,483719.25,470871.06,2368.19,154.34,Client,kyle.hall3355@example.com,"Hall, Kyle",Buyer,
T-NJ-2018-0010,"433 Hannah Circles, Newark, NJ",NJ,Sale,2018-03-26,2018-06-01,2018-07-03,sold,483719.25,470871.06,2368.19,154.34,Client,roberto.yates4694@example.com,"Yates, Roberto",Seller,
T-NJ-2018-0002,"459 Anderson Prairie, Fort Lee, NJ",NJ,Sale,2018-04-05,2018-06-09,2018-07-23,sold,616040.7,624963.14,1624.92,629.13,Agent,kristen.woods6052@dreamhomes.com,"Woods, Kristen",Buyer Agent,12294.87
T-NJ-2018-0002,"459 Anderson Prairie, Fort Lee, NJ",NJ,Sale,2018-04-05,2018-06-09,2018-07-23,sold,616040.7,624963.14,1624.92,629.13,Agent,damon.gonzalez618@dreamhomes.com,"Gonzalez, Damon",Seller Agent,13532.47
T-NJ-2018-0002,"459 Anderson Prairie, Fort Lee, NJ",NJ,Sale,2018-04-05,2018-06-09,2018-07-23,sold,616040.7,624963.14,1624.92,629.13,Client,roberto.yates4694@example.com,"Yates, Roberto",Buyer,
T-NJ-2018-0002,"459 Anderson Prairie, Fort Lee, NJ",NJ,Sale,2018-04-05,2018-06-09,2018-07-23,sold,616040.7,624963.14,1624.92,629.13,Client,catherine.payne4177@example.com,"Payne, Catherine",Buyer,
T-NJ-2018-0002,"459 Anderson Prairie, Fort Lee, NJ",NJ,Sale,2018-04-05,2018-06-09,2018-07-23,sold,616040.7,624963.14,1624.92,629.13,Client,blake.miller5098@example.com,"Miller, Blake",Seller,
T-NY-2018-0111,"180 Timothy Spring, Brooklyn, NY",NY,Rent,2018-05-20,2018-06-13,,cancelled rental,3766.58,,,,Agent,crystal.powell2551@dreamhomes.com,"Powell, Crystal",Landlord Agent,
T-NY-2018-0111,"180 Timothy Spring, Brooklyn, NY",NY,Rent,2018-05-20,2018-06-13,,cancelled rental,3766.58,,,,Agent,jill.carrillo7109@dreamhomes.com,"Carrillo, Jill",Tenant Agent,
T-NY-2018-0111,"180 Timothy Spring, Brooklyn, NY",NY,Rent,2018-05-20,2018-06-13,,cancelled rental,3766.58,,,,Client,ivan.fernandez1109@example.com,"Fernandez, Ivan",Landlord,
T-NY-2018-0111,"180 Timothy Spring, Brooklyn, NY",NY,Rent,2018-05-20,2018-06-13,,cancelled rental,3766.58,,,,Client,eric.silva9746@example.com,"Silva, Eric",Tenant,
T-NJ-2018-0114,"366 Williams Key, Jersey City, NJ",NJ,Rent,2018-04-30,2018-06-14,2018-07-04,rented,2542.01,2503.63,1415.33,317.86,Agent,karen.clark2103@dreamhomes.com,"Clark, Karen",Landlord Agent,166.92
T-NJ-2018-0114,"366 Williams Key, Jersey City, NJ",NJ,Rent,2018-04-30,2018-06-14,2018-07-04,rented,2542.01,2503.63,1415.33,317.86,Agent,kristen.woods6052@dreamhomes.com,"Woods, Kristen",Tenant Agent,157.9
T-NJ-2018-0114,"366 Williams Key, Jersey City, NJ",NJ,Rent,2018-04-30,2018-06-14,2018-07-04,rented,2542.01,2503.63,1415.33,317.86,Client,kyle.hall3355@example.com,"Hall, Kyle",Landlord,
T-NJ-2018-0114,"366 Williams Key, Jersey City, NJ",NJ,Rent,2018-04-30,2018-06-14,2018-07-04,rented,2542.01,2503.63,1415.33,317.86,Client,mark.snow7495@example.com,"Snow, Mark",Tenant,
T-NJ-2018-0114,"366 Williams Key, Jersey City, NJ",NJ,Rent,2018-04-30,2018-06-14,2018-07-04,rented,2542.01,2503.63,1415.33,317.86,Client,chris.brewer3109@example.com,"Brewer, Chris",Tenant,
T-CT-2018-0007,"713 Tran Course, Greenwich, CT",CT,Sale,2018-04-14,2018-06-18,2018-07-24,sold,447790.29,445064.69,2920.55,1205.58,Agent,donna.meadows3689@dreamhomes.com,"Meadows, Donna",Buyer Agent,10359.68
T-CT-2018-0007,"713 Tran Course, Greenwich, CT",CT,Sale,2018-04-14,2018-06-18,2018-07-24,sold,447790.29,445064.69,2920.55,1205.58,Agent,joshua.best1119@dreamhomes.com,"Best, Joshua",Seller Agent,9110.68
T-CT-2018-0007,"713 Tran Course, Greenwich, CT",CT,Sale,2018-04-14,2018-06-18,2018-07-24,sold,447790.29,445064.69,2920.55,1205.58,Client,catherine.payne4177@example.com,"Payne, Catherine",Buyer,
T-CT-2018-0007,"713 Tran Course, Greenwich, CT",CT,Sale,2018-04-14,2018-06-18,2018-07-24,sold,447790.29,445064.69,2920.55,1205.58,Client,kristen.cox5628@example.com,"Cox, Kristen",Seller,
T-CT-2018-0015,"760 Chang Lodge, Bridgeport, CT",CT,Sale,2018-05-02,2018-07-02,2018-07-21,sold,727088.79,730449.72,2647.46,174.85,Agent,katherine.miller6806@dreamhomes.com,"Miller, Katherine",Buyer Agent,16774.67
T-CT-2018-0015,"760 Chang Lodge, Bridgeport, CT",CT,Sale,2018-05-02,2018-07-02,2018-07-21,sold,727088.79,730449.72,2647.46,174.85,Agent,tina.ramirez1373@dreamhomes.com,"Ramirez, Tina",Seller Agent,13922.33
T-CT-2018-0015,"760 Chang Lodge, Bridgeport, CT",CT,Sale,2018-05-02,2018-07-02,2018-07-21,sold,727088.79,730449.72,2647.46,174.85,Client,chris.brewer3109@example.com,"Brewer, Chris",Buyer,
T-CT-2018-0015,"760 Chang Lodge, Bridgeport, CT",CT,Sale,2018-05-02,2018-07-02,2018-07-21,sold,727088.79,730449.72,2647.46,174.85,Client,erica.lynch3304@example.com,"Lynch, Erica",Seller,
T-NJ-2018-0009,"448 Palmer Shores, Hoboken, NJ",NJ,Sale,2018-05-18,2018-07-15,,expired,754158.17,,,,Agent,julia.roberson8712@dreamhomes.com,"Roberson, Julia",Buyer Agent,
T-NJ-2018-0009,"448 Palmer Shores, Hoboken, NJ",NJ,Sale,2018-05-18,2018-07-15,,expired,754158.17,,,,Agent,damon.gonzalez618@dreamhomes.com,"Gonzalez, Damon",Seller Agent,
T-NJ-2018-0009,"448 Palmer Shores, Hoboken, NJ",NJ,Sale,2018-05-18,2018-07-15,,expired,754158.17,,,,Client,ivan.fernandez1109@example.com,"Fernandez, Ivan",Seller,
T-CT-2018-0011,"701 Tracy Ports, Bridgeport, CT",CT,Sale,2018-06-11,2018-07-25,,expired,718252.58,,,,Agent,jennifer.tran397@dreamhomes.com,"Tran, Jennifer",Buyer Agent,
T-CT-2018-0011,"701 Tracy Ports, Bridgeport, CT",CT,Sale,2018-06-11,2018-07-25,,expired,718252.58,,,,Agent,katherine.miller6806@dreamhomes.com,"Miller, Katherine",Seller Agent,
T-CT-2018-0011,"701 Tracy Ports, Bridgeport, CT",CT,Sale,2018-06-11,2018-07-25,,expired,718252.58,,,,Client,erica.lynch3304@example.com,"Lynch, Erica",Seller,
T-NY-2018-0104,"154 Wolfe Mission, Long Island City, NY",NY,Rent,2018-06-25,2018-07-25,2018-08-14,rented,5922.55,6049.89,1841.12,905.58,Agent,angela.woods7376@dreamhomes.com,"Woods, Angela",Landlord Agent,356.57
T-NY-2018-0104,"154 Wolfe Mission, Long Island City, NY",NY,Rent,2018-06-25,2018-07-25,2018-08-14,rented,5922.55,6049.89,1841.12,905.58,Agent,erica.rogers3495@dreamhomes.com,"Rogers, Erica",Tenant Agent,364.83
T-NY-2018-0104,"154 Wolfe Mission, Long Island City, NY",NY,Rent,2018-06-25,2018-07-25,2018-08-14,rented,5922.55,6049.89,1841.12,905.58,Client,catherine.payne4177@example.com,"Payne, Catherine",Landlord,
T-NY-2018-0104,"154 Wolfe Mission, Long Island City, NY",NY,Rent,2018-06-25,2018-07-25,2018-08-14,rented,5922.55,6049.89,1841.12,905.58,Client,jeffery.smith7042@example.com,"Smith, Jeffery",Tenant,
T-NY-2018-0108,"138 Martin Lane, Brooklyn, NY",NY,Rent,2018-07-03,2018-07-29,,expired,6147.41,,,,Agent,crystal.powell2551@dreamhomes.com,"Powell, Crystal",Landlord Agent,
T-NY-2018-0108,"138 Martin Lane, Brooklyn, NY",NY,Rent,2018-07-03,2018-07-29,,expired,6147.41,,,,Agent,frank.preston2605@dreamhomes.com,"Preston, Frank",Tenant Agent,
T-NY-2018-0108,"138 Martin Lane, Brooklyn, NY",NY,Rent,2018-07-03,2018-07-29,,expired,6147.41,,,,Client,chris.brewer3109@example.com,"Brewer, Chris",Landlord,
T-NY-2018-0112,"123 Mays Parks, Bronx, NY",NY,Rent,2018-07-06,2018-08-08,2018-08-27,rented,4920.45,4900.77,2351.45,981.58,Agent,erica.rogers3495@dreamhomes.com,"Rogers, Erica",Landlord Agent,330.33
T-NY-2018-0112,"123 Mays Parks, Bronx, NY",NY,Rent,2018-07-06,2018-08-08,2018-08-27,rented,4920.45,4900.77,2351.45,981.58,Agent,crystal.powell2551@dreamhomes.com,"Powell, Crystal",Tenant Agent,377.99
T-NY-2018-0112,"123 Mays Parks, Bronx, NY",NY,Rent,2018-07-06,2018-08-08,2018-08-27,rented,4920.45,4900.77,2351.45,981.58,Client,chris.brewer3109@example.com,"Brewer, Chris",Landlord,
T-NY-2018-0112,"123 Mays Parks, Bronx, NY",NY,Rent,2018-07-06,2018-08-08,2018-08-27,rented,4920.45,4900.77,2351.45,981.58,Client,sarah.armstrong4883@example.com,"Armstrong, Sarah",Tenant,
T-NY-2018-0097,"248 Singh Plains, Long Island City, NY",NY,Rent,2018-07-19,2018-08-09,2018-08-17,rented,5616.92,5636.91,2425.81,1326.66,Agent,jill.carrillo7109@dreamhomes.com,"Carrillo, Jill",Landlord Agent,410.1
T-NY-2018-0097,"248 Singh Plains, Long Island City, NY",NY,Rent,2018-07-19,2018-08-09,2018-08-17,rented,5616.92,5636.91,2425.81,1326.66,Agent,crystal.powell2551@dreamhomes.com,"Powell, Crystal",Tenant Agent,339.24
T-NY-2018-0097,"248 Singh Plains, Long Island City, NY",NY,Rent,2018-07-19,2018-08-09,2018-08-17,rented,5616.92,5636.91,2425.81,1326.66,Client,kristen.cox5628@example.com,"Cox, Kristen",Landlord,
T-NY-2018-0097,"248 Singh Plains, Long Island City, NY",NY,Rent,2018-07-19,2018-08-09,2018-08-17,rented,5616.92,5636.91,2425.81,1326.66,Client,catherine.payne4177@example.com,"Payne, Catherine",Tenant,
T-CT-2018-0113,"701 Tracy Ports, Bridgeport, CT",CT,Rent,2018-07-14,2018-08-14,2018-08-19,rented,3267.66,3298.89,2526.63,1525.26,Agent,donna.meadows3689@dreamhomes.com,"Meadows, Donna",Landlord Agent,160.59
T-CT-2018-0113,"701 Tracy Ports, Bridgeport, CT",CT,Rent,2018-07-14,2018-08-14,2018-08-19,rented,3267.66,3298.89,2526.63,1525.26,Agent,joshua.best1119@dreamhomes.com,"Best, Joshua",Tenant Agent,186.67
T-CT-2018-0113,"701 Tracy Ports, Bridgeport, CT",CT,Rent,2018-07-14,2018-08-14,2018-08-19,rented,3267.66,3298.89,2526.63,1525.26,Client,chris.brewer3109@example.com,"Brewer, Chris",Landlord,
T-CT-2018-0113,"701 Tracy Ports, Bridgeport, CT",CT,Rent,2018-07-14,2018-08-14,2018-08-19,rented,3267.66,3298.89,2526.63,1525.26,Client,jeffery.smith7042@example.com,"Smith, Jeffery",Tenant,
T-CT-2018-0102,"782 Prince Stream, Greenwich, CT",CT,Rent,2018-07-31,2018-08-30,2018-09-10,rented,4286.0,4324.39,1720.01,1709.76,Agent,tina.ramirez1373@dreamhomes.com,"Ramirez, Tina",Landlord Agent,286.58
T-CT-2018-0102,"782 Prince Stream, Greenwich, CT",CT,Rent,2018-07-31,2018-08-30,2018-09-10,rented,4286.0,4324.39,1720.01,1709.76,Agent,katherine.miller6806@dreamhomes.com,"Miller, Katherine",Tenant Agent,281.88
T-CT-2018-0102,"782 Prince Stream, Greenwich, CT",CT,Rent,2018-07-31,2018-08-30,2018-09-10,rented,4286.0,4324.39,1720.01,1709.76,Client,jesse.kane9072@example.com,"Kane, Jesse",Landlord,
T-CT-2018-0102,"782 Prince Stream, Greenwich, CT",CT,Rent,2018-07-31,2018-08-30,2018-09-10,rented,4286.0,4324.39,1720.01,1709.76,Client,michele.ramirez8429@example.com,"Ramirez, Michele",Tenant,
T-CT-2018-0001,"663 Angela Landing, New Haven, CT",CT,Sale,2018-07-03,2018-09-02,2018-10-21,sold,703548.06,689159.24,1452.54,1461.14,Agent,tina.ramirez1373@dreamhomes.com,"Ramirez, Tina",Buyer Agent,15505.88
T-CT-2018-0001,"663 Angela Landing, New Haven, CT",CT,Sale,2018-07-03,2018-09-02,2018-10-21,sold,703548.06,689159.24,1452.54,1461.14,Agent,sheila.byrd4387@dreamhomes.com,"Byrd, Sheila",Seller Agent,14411.34
T-CT-2018-0001,"663 Angela Landing, New Haven, CT",CT,Sale,2018-07-03,2018-09-02,2018-10-21,sold,703548.06,689159.24,1452.54,1461.14,Client,blake.miller5098@example.com,"Miller, Blake",Buyer,
T-CT-2018-0001,"663 Angela Landing, New Haven, CT",CT,Sale,2018-07-03,2018-09-02,2018-10-21,sold,703548.06,689159.24,1452.54,1461.14,Client,david.rodriguez7820@example.com,"Rodriguez, David",Buyer,
T-CT-2018-0001,"663 Angela Landing, New Haven, CT",CT,Sale,2018-07-03,2018-09-02,2018-10-21,sold,703548.06,689159.24,1452.54,1461.14,Client,sarah.armstrong4883@example.com,"Armstrong, Sarah",Seller,
T-NJ-2018-0109,"444 Ryan Dale, Hoboken, NJ",NJ,Rent,2018-07-31,2018-09-14,2018-09-29,rented,3728.03,3692.56,2787.11,1249.87,Agent,bryan.riddle4780@dreamhomes.com,"Riddle, Bryan",Landlord Agent,233.4
T-NJ-2018-0109,"444 Ryan Dale, Hoboken, NJ",NJ,Rent,2018-07-31,2018-09-14,2018-09-29,rented,3728.03,3692.56,2787.11,1249.87,Agent,kristen.woods6052@dreamhomes.com,"Woods, Kristen",Tenant Agent,211.98
T-NJ-2018-0109,"444 Ryan Dale, Hoboken, NJ",NJ,Rent,2018-07-31,2018-09-14,2018-09-29,rented,3728.03,3692.56,2787.11,1249.87,Client,kristen.cox5628@example.com,"Cox, Kristen",Landlord,
T-NJ-2018-0109,"444 Ryan Dale, Hoboken, NJ",NJ,Rent,2018-07-31,2018-09-14,2018-09-29,rented,3728.03,3692.56,2787.11,1249.87,Client,cassandra.collins9638@example.com,"Collins, Cassandra",Tenant,
T-CT-2018-0101,"566 Dalton Expressway, Stamford, CT",CT,Rent,2018-08-18,2018-09-18,2018-10-01,rented,4247.46,4273.76,1352.62,678.75,Agent,sheila.byrd4387@dreamhomes.com,"Byrd, Sheila",Landlord Agent,332.47
T-CT-2018-0101,"566 Dalton Expressway, Stamford, CT",CT,Rent,2018-08-18,2018-09-18,2018-10-01,rented,4247.46,4273.76,1352.62,678.75,Agent,jennifer.tran397@dreamhomes.com,"Tran, Jennifer",Tenant Agent,298.44
T-CT-2018-0101,"566 Dalton Expressway, Stamford, CT",CT,Rent,2018-08-18,2018-09-18,2018-10-01,rented,4247.46,4273.76,1352.62,678.75,Client,jeffery.smith7042@example.com,"Smith, Jeffery",Landlord,
T-CT-2018-0101,"566 Dalton Expressway, Stamford, CT",CT,Rent,2018-08-18,2018-09-18,2018-10-01,rented,4247.46,4273.76,1352.62,678.75,Client,sarah.armstrong4883@example.com,"Armstrong, Sarah",Tenant,
T-NJ-2018-0100,"444 Ryan Dale, Hoboken, NJ",NJ,Rent,2018-08-19,2018-09-22,2018-10-08,rented,3662.13,3707.04,2777.13,1220.1,Agent,janet.kim9646@dreamhomes.com,"Kim, Janet",Landlord Agent,256.9
T-NJ-2018-0100,"444 Ryan Dale, Hoboken, NJ",NJ,Rent,2018-08-19,2018-09-22,2018-10-08,rented,3662.13,3707.04,2777.13,1220.1,Agent,bryan.riddle4780@dreamhomes.com,"Riddle, Bryan",Tenant Agent,221.27
T-NJ-2018-0100,"444 Ryan Dale, Hoboken, NJ",NJ,Rent,2018-08-19,2018-09-22,2018-10-08,rented,3662.13,3707.04,2777.13,1220.1,Client,eric.silva9746@example.com,"Silva, Eric",Landlord,
T-NJ-2018-0100,"444 Ryan Dale, Hoboken, NJ",NJ,Rent,2018-08-19,2018-09-22,2018-10-08,rented,3662.13,3707.04,2777.13,1220.1,Client,frank.tyler5524@example.com,"Tyler, Frank",Tenant,
T-NJ-2018-0100,"444 Ryan Dale, Hoboken, NJ",NJ,Rent,2018-08-19,2018-09-22,2018-10-08,rented,3662.13,3707.04,2777.13,1220.1,Client,michele.ramirez8429@example.com,"Ramirez, Michele",Tenant,
T-NY-2018-0005,"326 Amy Greens, Brooklyn, NY",NY,Sale,2018-07-31,2018-09-25,,pending sale,967847.68,,,,Agent,jill.carrillo7109@dreamhomes.com,"Carrillo, Jill",Buyer Agent,
