hosting_agent_email,property_full_address,start_time,end_time,cost,notes
tina.ramirez1373@dreamhomes.com,"652 Holder Mews, Norwalk, CT",2021-08-16 14:00:00,2021-08-16 16:00:00,764.7,Weekend open house with strong foot traffic
jennifer.tran397@dreamhomes.com,"760 Chang Lodge, Bridgeport, CT",2021-09-09 14:00:00,2021-09-09 17:00:00,1069.98,Weekend open house with strong foot traffic
joshua.best1119@dreamhomes.com,"602 Adriana Cape, Greenwich, CT",2021-09-23 14:00:00,2021-09-23 16:00:00,216.61,Smaller attendance due to weather
joshua.best1119@dreamhomes.com,"691 Katherine Ports, Stamford, CT",2022-01-03 11:00:00,2022-01-03 14:00:00,604.84,Broker open house with buyer pre-screening
angela.woods7376@dreamhomes.com,"294 Vanessa Divide, Long Island City, NY",2022-02-25 11:00:00,2022-02-25 13:00:00,1077.47,In-person showing window
jennifer.tran397@dreamhomes.com,"772 Morales Inlet, Norwalk, CT",2022-03-10 12:00:00,2022-03-10 15:00:00,1159.92,Weekend open house with strong foot traffic
jennifer.tran397@dreamhomes.com,"632 Gibbs Court, Norwalk, CT",2022-03-20 13:00:00,2022-03-20 15:00:00,518.12,Weekend open house with strong foot traffic
julia.roberson8712@dreamhomes.com,"448 Palmer Shores, Hoboken, NJ",2022-04-06 12:00:00,2022-04-06 16:00:00,471.55,Smaller attendance due to weather
angela.woods7376@dreamhomes.com,"307 Candice Center, New York, NY",2022-04-11 11:00:00,2022-04-11 14:00:00,285.04,In-person showing window
tina.ramirez1373@dreamhomes.com,"602 Adriana Cape, Greenwich, CT",2022-06-30 13:00:00,2022-06-30 16:00:00,183.64,Weekend open house with strong foot traffic
damon.gonzalez618@dreamhomes.com,"544 Martin Hills, Hoboken, NJ",2022-07-28 13:00:00,2022-07-28 17:00:00,491.86,Smaller attendance due to weather
jill.carrillo7109@dreamhomes.com,"307 Candice Center, New York, NY",2023-01-24 11:00:00,2023-01-24 14:00:00,890.41,Broker open house with buyer pre-screening
donna.meadows3689@dreamhomes.com,"749 David Mill, Greenwich, CT",2023-03-01 11:00:00,2023-03-01 15:00:00,864.02,In-person showing window
donna.meadows3689@dreamhomes.com,"749 David Mill, Greenwich, CT",2023-03-13 13:00:00,2023-03-13 16:00:00,793.66,Smaller attendance due to weather
jill.carrillo7109@dreamhomes.com,"144 Bell Avenue, Brooklyn, NY",2023-04-03 14:00:00,2023-04-03 18:00:00,588.7,Broker open house with buyer pre-screening
stanley.mooney4062@dreamhomes.com,"222 Kim Union, Queens, NY",2023-07-04 11:00:00,2023-07-04 13:00:00,729.76,Broker open house with buyer pre-screening
jennifer.tran397@dreamhomes.com,"810 Johns Ports, Greenwich, CT",2023-07-22 14:00:00,2023-07-22 16:00:00,667.01,In-person showing window
damon.gonzalez618@dreamhomes.com,"385 Loretta Flats, Newark, NJ",2023-08-12 14:00:00,2023-08-12 18:00:00,150.9,Broker open house with buyer pre-screening
erica.rogers3495@dreamhomes.com,"338 Clark Mountains, Brooklyn, NY",2023-09-26 12:00:00,2023-09-26 15:00:00,844.72,Broker open house with buyer pre-screening
tina.ramirez1373@dreamhomes.com,"617 Allen Mills, Greenwich, CT",2023-10-08 12:00:00,2023-10-08 14:00:00,511.77,Broker open house with buyer pre-screening
